File Name             Ý Virus Name
~~~~~~~~~~~~~~~~~~~~~~Ý~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ANGLDETH.COM          Ý Angel Of Death (AVP - AOD.385)
DOCFORCE.DOC          Ý Word97.Macro.DocForce (AVP - Macro.Word97.Docforce)
FELIX.COM             Ý Felix (AVP - Intended.Darth)
FLITNIC.DOC           Ý Word97.Macro.Flitnic (AVP - Macro.Word97.IIS.i)
MBR.COM               Ý MBR (AVP - Trojan.Feliks)
PYROSDOS.COM          Ý Pyros (AVP - Suspicion: Type_ComExe)
PYROSW32.EXE          Ý Pyros (AVP - Suspicion: Type_Win32)
SABOTAGI.EXE          Ý Win9x.Sabotagio
TRNDKILL.EXE          Ý Win9x.Trendkiller
W95_ROMA.EXE          Ý Win9x.Roma
W95_TP_A.EXE          Ý Win9x.TurnPike.B
W95_TP_B.EXE          Ý Win9x.TurnPike.B
